;position;squad;minutes;xg_per90;shoots_on_t_x_game;passes_x_game;dribbles_x_game;goals
6198;9;4;1888.0;0.34;1.0869565217391304;0.13043478260869565;0.782608695652174;11.0
6199;3;4;160.0;0.02;0.25;0.0;0.25;0.0
6200;8;4;1239.0;0.22;0.23076923076923078;0.6153846153846154;0.8846153846153846;3.0
6201;3;4;1103.0;0.1;0.2;4.466666666666667;0.26666666666666666;3.0
6202;9;4;100.0;0.05;0.0;0.5;0.0;0.0
6203;6;4;2252.0;0.14;0.8076923076923077;4.346153846153846;1.1538461538461537;5.0
6204;3;4;270.0;0.0;0.0;0.0;0.0;0.0
6205;7;4;982.0;0.05;0.2;1.5333333333333334;1.4;1.0
6206;8;4;675.0;0.27;0.2777777777777778;0.7777777777777778;0.6666666666666666;1.0
6207;3;4;1273.0;0.02;0.058823529411764705;4.176470588235294;1.4705882352941178;0.0
6208;7;4;1123.0;0.14;0.5625;1.5;2.4375;2.0
6209;3;4;766.0;0.0;0.0;1.0;0.4;0.0
6210;9;4;145.0;0.0;0.0;0.3333333333333333;0.6666666666666666;0.0
6211;3;4;1454.0;0.01;0.05263157894736842;3.6842105263157894;0.21052631578947367;1.0
6212;5;4;133.0;0.07;0.0;0.0;0.3333333333333333;0.0
6213;6;4;37.0;0.0;0.0;3.0;2.0;0.0
6214;6;4;519.0;0.09;0.125;1.875;0.625;1.0
6215;6;4;590.0;0.0;0.0;1.2142857142857142;0.2857142857142857;0.0
6216;3;4;200.0;0.01;0.0;0.4;0.6;0.0
6217;6;4;53.0;0.0;0.0;3.0;1.0;0.0
6218;3;1;3240.0;0.01;0.1111111111111111;1.1944444444444444;1.3611111111111112;0.0
6219;1;1;759.0;0.11;0.09090909090909091;1.2727272727272727;0.18181818181818182;0.0
6220;8;1;2464.0;0.08;0.3055555555555556;4.027777777777778;2.9444444444444446;1.0
6221;3;1;1293.0;0.08;0.11764705882352941;1.2941176470588236;0.29411764705882354;0.0
6222;8;1;2489.0;0.21;0.43243243243243246;1.9189189189189189;1.5405405405405406;6.0
6223;8;1;647.0;0.36;0.23809523809523808;0.23809523809523808;0.2857142857142857;1.0
6224;6;1;724.0;0.09;0.3;1.7;0.5;0.0
